,Actual Values,Predicted Values,Gender,Age Group,Year In,Month In,Year Out,Month Out,Country_Code
533705,0,0,2,7,2018,7,2018,8,27
18522,0,0,1,7,2017,7,2017,7,2
348003,0,0,1,2,2019,5,2019,5,5
358421,0,1,1,6,2019,5,2019,5,2
421845,1,0,2,2,2019,7,2019,7,2
416814,0,0,1,2,2019,7,2019,7,5
189747,1,1,1,7,2018,12,2018,12,2
176091,1,1,2,7,2018,12,2018,12,1
70023,0,0,1,6,2018,3,2018,3,5
178060,1,1,2,7,2018,12,2018,12,2
70374,0,0,2,7,2018,3,2018,3,2
393088,1,0,1,7,2019,6,2019,6,7
392395,1,0,2,4,2019,6,2019,6,1
52417,0,0,1,6,2017,12,2018,1,2
198968,0,0,1,7,2019,1,2019,1,2
540765,1,1,2,7,2018,10,2018,10,2
537779,0,1,2,7,2018,9,2018,9,4
88113,0,0,1,7,2018,5,2018,5,2
123375,1,1,1,7,2018,8,2018,9,2
276100,1,0,1,1,2019,4,2019,4,7
529327,0,1,1,1,2018,6,2018,6,2
503557,0,0,1,7,2017,11,2017,11,2
108162,1,1,1,7,2018,7,2018,7,5
185154,1,1,1,6,2018,12,2018,12,5
304458,1,0,2,3,2019,4,2019,4,1
31168,0,0,2,3,2017,10,2017,10,5
212416,1,0,2,1,2019,2,2019,2,4
9435,0,0,1,7,2017,4,2017,4,7
419620,0,0,1,7,2019,7,2019,7,5
434398,0,0,1,6,2019,8,2019,8,2
419372,0,0,1,7,2019,7,2019,7,2
333392,1,1,1,7,2019,5,2019,5,2
387974,0,0,1,5,2019,6,2019,6,5
147436,1,1,1,2,2018,10,2018,10,2
243336,0,1,2,7,2019,3,2019,3,2
168911,1,1,1,4,2018,11,2018,11,2
250842,1,1,1,4,2019,3,2019,3,2
397137,1,0,1,2,2019,6,2019,6,1
259129,1,1,2,3,2019,3,2019,3,2
146615,0,0,2,1,2018,10,2018,10,7
72304,0,1,2,3,2018,3,2018,3,2
414029,0,0,2,2,2019,7,2019,7,1
497225,0,0,1,3,2017,9,2017,9,2
261938,1,1,1,5,2019,3,2019,3,1
433527,0,0,2,2,2019,8,2019,8,5
566477,0,0,1,2,2019,8,2019,8,7
375928,1,0,2,1,2019,6,2019,6,5
146915,1,1,2,4,2018,10,2018,10,5
372998,1,0,1,6,2019,6,2019,6,5
449971,1,0,1,7,2019,9,2019,9,5
531705,0,0,1,7,2018,7,2018,7,7
217440,1,1,2,7,2019,2,2019,2,5
150604,1,1,2,4,2018,10,2018,10,5
265392,1,1,1,7,2019,3,2019,3,2
442315,0,0,2,7,2019,8,2019,8,1
274081,0,0,2,4,2019,4,2019,4,5
95865,1,1,2,5,2018,6,2018,6,2
370599,0,0,2,6,2019,6,2019,6,5
524615,1,0,1,6,2018,5,2018,5,7
239719,1,1,1,7,2019,3,2019,3,2
